Sample ID,Source Plate Name,Source Well,Transfer Volume,Destination Plate Name,Destination Well,Source Plate Type
gen4 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,G07,384PP_AQ_BP2
gen4 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,G08,384PP_AQ_BP2
gen5 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,G09,384PP_AQ_BP2
gen5 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,G10,384PP_AQ_BP2
gen6 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,G11,384PP_AQ_BP2
gen6 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,G12,384PP_AQ_BP2
gen7 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,H01,384PP_AQ_BP2
gen7 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,H02,384PP_AQ_BP2
gen8 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,H03,384PP_AQ_BP2
gen8 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,H04,384PP_AQ_BP2
gen9 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,H05,384PP_AQ_BP2
gen9 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,H06,384PP_AQ_BP2
gen10 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,H07,384PP_AQ_BP2
gen10 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,H08,384PP_AQ_BP2
T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B06,200.0,dstPlate1,D07,384PP_AQ_BP2
T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B06,200.0,dstPlate1,D08,384PP_AQ_BP2
UTR_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B09,200.0,dstPlate1,D09,384PP_AQ_BP2
UTR_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B09,200.0,dstPlate1,D10,384PP_AQ_BP2
ORF_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B11,200.0,dstPlate1,D11,384PP_AQ_BP2
ORF_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B11,200.0,dstPlate1,D12,384PP_AQ_BP2
ORF_NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B13,200.0,dstPlate1,E01,384PP_AQ_BP2
ORF_NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B13,200.0,dstPlate1,E02,384PP_AQ_BP2
ORF_NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B15,200.0,dstPlate1,E03,384PP_AQ_BP2
ORF_NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B15,200.0,dstPlate1,E04,384PP_AQ_BP2
T2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B17,200.0,dstPlate1,E05,384PP_AQ_BP2
T2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B17,200.0,dstPlate1,E06,384PP_AQ_BP2
NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B19,200.0,dstPlate1,E07,384PP_AQ_BP2
NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B19,200.0,dstPlate1,E08,384PP_AQ_BP2
NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B21,200.0,dstPlate1,E09,384PP_AQ_BP2
NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B21,200.0,dstPlate1,E10,384PP_AQ_BP2
NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B24,200.0,dstPlate1,E11,384PP_AQ_BP2
NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B24,200.0,dstPlate1,E12,384PP_AQ_BP2
NAG-T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C02,200.0,dstPlate1,F01,384PP_AQ_BP2
NAG-T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C02,200.0,dstPlate1,F02,384PP_AQ_BP2
NAG-NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C04,200.0,dstPlate1,F03,384PP_AQ_BP2
NAG-NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C04,200.0,dstPlate1,F04,384PP_AQ_BP2
T1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C06,200.0,dstPlate1,F05,384PP_AQ_BP2
T1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C06,200.0,dstPlate1,F06,384PP_AQ_BP2
T1-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C08,200.0,dstPlate1,F07,384PP_AQ_BP2
T1-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C08,200.0,dstPlate1,F08,384PP_AQ_BP2
NT1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C10,200.0,dstPlate1,F09,384PP_AQ_BP2
NT1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C10,200.0,dstPlate1,F10,384PP_AQ_BP2
NT2-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C12,200.0,dstPlate1,F11,384PP_AQ_BP2
NT2-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C12,200.0,dstPlate1,F12,384PP_AQ_BP2
gen1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C14,200.0,dstPlate1,G01,384PP_AQ_BP2
gen1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C14,200.0,dstPlate1,G02,384PP_AQ_BP2
gen2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C17,200.0,dstPlate1,G03,384PP_AQ_BP2
gen2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C17,200.0,dstPlate1,G04,384PP_AQ_BP2
gen3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C19,200.0,dstPlate1,G05,384PP_AQ_BP2
gen3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C19,200.0,dstPlate1,G06,384PP_AQ_BP2
gen4 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C21,200.0,dstPlate1,G07,384PP_AQ_BP2
gen4 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C21,200.0,dstPlate1,G08,384PP_AQ_BP2
gen5 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,C23,200.0,dstPlate1,G09,384PP_AQ_BP2
gen5 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,C23,200.0,dstPlate1,G10,384PP_AQ_BP2
gen6 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,D01,200.0,dstPlate1,G11,384PP_AQ_BP2
gen6 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,D01,200.0,dstPlate1,G12,384PP_AQ_BP2
gen7 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,D03,200.0,dstPlate1,H01,384PP_AQ_BP2
gen7 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,D03,200.0,dstPlate1,H02,384PP_AQ_BP2
gen8 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,D05,200.0,dstPlate1,H03,384PP_AQ_BP2
gen8 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,D05,200.0,dstPlate1,H04,384PP_AQ_BP2
gen9 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,D07,200.0,dstPlate1,H05,384PP_AQ_BP2
gen9 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,D07,200.0,dstPlate1,H06,384PP_AQ_BP2
gen10 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,D10,200.0,dstPlate1,H07,384PP_AQ_BP2
gen10 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,D10,200.0,dstPlate1,H08,384PP_AQ_BP2
